x,y,stock
8000,255,234
8000,175,219
8000,125,164
8000,100,134
8000,80,109
8000,60,84
8000,50,72
8000,40,49
8000,35,44
8000,30,39
8000,25,36
8000,20,34
8000,18,33
8000,15,32
8000,10,30
8000,6,26
7000,255,228
7000,175,224
7000,125,164
7000,100,139
7000,80,114
7000,60,99
7000,50,86
7000,40,54
7000,35,46
7000,30,39
7000,25,36
7000,20,34
7000,18,33
7000,15,32
7000,10,30
7000,6,26
6000,255,245
6000,175,213
6000,125,164
6000,100,139
6000,80,125
6000,60,104
6000,50,99
6000,40,65
6000,35,52
6000,30,44
6000,25,38
6000,20,29
6000,18,28
6000,15,23
6000,10,28
6000,6,26
5000,255,208
5000,175,185
5000,125,170
5000,100,153
5000,80,129
5000,60,114
5000,50,93
5000,40,68
5000,35,55
5000,30,52
5000,25,35
5000,20,36
5000,18,32
5000,15,28
5000,10,32
5000,6,26
4500,255,215
4500,175,203
4500,125,190
4500,100,175
4500,80,147
4500,60,124
4500,50,104
4500,40,75
4500,35,65
4500,30,55
4500,25,38
4500,20,38
4500,18,35
4500,15,33
4500,10,36
4500,6,34
4250,255,227
4250,175,211
4250,125,214
4250,100,175
4250,80,148
4250,60,123
4250,50,102
4250,40,77
4250,35,65
4250,30,60
4250,25,45
4250,20,38
4250,18,36
4250,15,34
4250,10,38
4250,6,35
4000,255,219
4000,175,210
4000,125,188
4000,100,168
4000,80,151
4000,60,137
4000,50,113
4000,40,85
4000,35,67
4000,30,55
4000,25,42
4000,20,39
4000,18,36
4000,15,38
4000,10,39
4000,6,35
3400,255,208
3400,175,212
3400,125,192
3400,100,166
3400,80,149
3400,60,127
3400,50,116
3400,40,92
3400,35,69
3400,30,59
3400,25,46
3400,20,43
3400,18,39
3400,15,36
3400,10,41
3400,6,38
2900,255,237
2900,175,227
2900,125,190
2900,100,176
2900,80,162
2900,60,133
2900,50,124
2900,40,103
2900,35,92
2900,30,68
2900,25,55
2900,20,47
2900,18,46
2900,15,41
2900,10,41
2900,6,40
2400,255,233
2400,175,227
2400,125,212
2400,100,196
2400,80,175
2400,60,152
2400,50,138
2400,40,118
2400,35,100
2400,30,88
2400,25,69
2400,20,58
2400,18,54
2400,15,41
2400,10,43
2400,6,46
2150,255,224
2150,175,219
2150,125,229
2150,100,223
2150,80,189
2150,60,163
2150,50,142
2150,40,125
2150,35,105
2150,30,85
2150,25,69
2150,20,63
2150,18,56
2150,15,43
2150,10,46
2150,6,48
1900,255,172
1900,175,172
1900,125,169
1900,100,189
1900,80,178
1900,60,162
1900,50,143
1900,40,119
1900,35,111
1900,30,86
1900,25,76
1900,20,63
1900,18,52
1900,15,47
1900,10,51
1900,6,55
1500,255,176
1500,175,164
1500,125,162
1500,100,159
1500,80,166
1500,60,152
1500,50,139
1500,40,122
1500,35,108
1500,30,102
1500,25,86
1500,20,72
1500,18,65
1500,15,58
1500,10,56
1500,6,55
1350,255,156
1350,175,153
1350,125,149
1350,100,149
1350,80,184
1350,60,154
1350,50,145
1350,40,124
1350,35,119
1350,30,105
1350,25,93
1350,20,77
1350,18,73
1350,15,63
1350,10,61
1350,6,59
1150,255,184
1150,175,164
1150,125,145
1150,100,139
1150,80,184
1150,60,167
1150,50,142
1150,40,143
1150,35,126
1150,30,114
1150,25,105
1150,20,85
1150,18,81
1150,15,71
1150,10,66
1150,6,64
1000,255,174
1000,175,184
1000,125,184
1000,100,184
1000,80,184
1000,60,169
1000,50,149
1000,40,135
1000,35,128
1000,30,120
1000,25,125
1000,20,90
1000,18,85
1000,15,74
1000,10,69
1000,6,67
800,255,174
800,175,174
800,125,174
800,100,174
800,80,174
800,60,174
800,50,149
800,40,127
800,35,122
800,30,120
800,25,129
800,20,119
800,18,90
800,15,86
800,10,83
800,6,81
400,255,0
400,175,70
400,125,70
400,100,70
400,80,80
400,60,90
400,50,103
400,40,103
400,35,103
400,30,103
400,25,120
400,20,105
400,18,100
400,15,99
400,10,94
400,6,81
0,255,0
0,175,70
0,125,70
0,100,70
0,80,80
0,60,90
0,50,100
0,40,100
0,35,100
0,30,100
0,25,110
0,20,103
0,18,100
0,15,98
0,10,93
0,6,82
