x,y,twin
8000,255,217
8000,175,190
8000,125,150
8000,100,130
8000,80,116
8000,60,94
8000,50,80
8000,40,62
8000,35,47
8000,30,42
8000,25,41
8000,20,40
8000,18,33
8000,15,39
8000,10,30
8000,6,27
7000,255,217
7000,175,190
7000,125,156
7000,100,136
7000,80,116
7000,60,90
7000,50,74
7000,40,69
7000,35,56
7000,30,52
7000,25,41
7000,20,40
7000,18,33
7000,15,39
7000,10,30
7000,6,27
6000,255,220
6000,175,191
6000,125,157
6000,100,132
6000,80,119
6000,60,97
6000,50,82
6000,40,69
6000,35,56
6000,30,58
6000,25,41
6000,20,40
6000,18,28
6000,15,50
6000,10,30
6000,6,30
5000,255,206
5000,175,189
5000,125,168
5000,100,151
5000,80,135
5000,60,111
5000,50,94
5000,40,67
5000,35,62
5000,30,60
5000,25,41
5000,20,41
5000,18,32
5000,15,50
5000,10,32
5000,6,37
4500,255,208
4500,175,199
4500,125,184
4500,100,164
4500,80,152
4500,60,130
4500,50,107
4500,40,85
4500,35,71
4500,30,55
4500,25,48
4500,20,43
4500,18,33
4500,15,50
4500,10,35
4500,6,37
4250,255,223
4250,175,211
4250,125,195
4250,100,180
4250,80,158
4250,60,137
4250,50,120
4250,40,94
4250,35,78
4250,30,64
4250,25,49
4250,20,44
4250,18,43
4250,15,53
4250,10,35
4250,6,38
4000,255,224
4000,175,219
4000,125,204
4000,100,187
4000,80,160
4000,60,134
4000,50,120
4000,40,102
4000,35,86
4000,30,61
4000,25,48
4000,20,45
4000,18,44
4000,15,55
4000,10,35
4000,6,38
3400,255,229
3400,175,222
3400,125,206
3400,100,189
3400,80,163
3400,60,138
3400,50,124
3400,40,102
3400,35,85
3400,30,70
3400,25,56
3400,20,56
3400,18,55
3400,15,60
3400,10,37
3400,6,40
2900,255,196
2900,175,193
2900,125,198
2900,100,180
2900,80,159
2900,60,137
2900,50,121
2900,40,104
2900,35,82
2900,30,72
2900,25,58
2900,20,58
2900,18,53
2900,15,60
2900,10,40
2900,6,40
2400,255,161
2400,175,154
2400,125,164
2400,100,163
2400,80,150
2400,60,135
2400,50,124
2400,40,111
2400,35,98
2400,30,83
2400,25,68
2400,20,58
2400,18,47
2400,15,47
2400,10,47
2400,6,42
2150,255,173
2150,175,170
2150,125,168
2150,100,167
2150,80,180
2150,60,147
2150,50,137
2150,40,114
2150,35,120
2150,30,95
2150,25,76
2150,20,65
2150,18,58
2150,15,56
2150,10,49
2150,6,45
1900,255,190
1900,175,186
1900,125,184
1900,100,185
1900,80,161
1900,60,162
1900,50,139
1900,40,132
1900,35,114
1900,30,96
1900,25,81
1900,20,69
1900,18,65
1900,15,59
1900,10,53
1900,6,45
1500,255,209
1500,175,208
1500,125,180
1500,100,174
1500,80,174
1500,60,165
1500,50,146
1500,40,140
1500,35,130
1500,30,115
1500,25,98
1500,20,86
1500,18,78
1500,15,61
1500,10,69
1500,6,60
1350,255,190
1350,175,194
1350,125,194
1350,100,170
1350,80,170
1350,60,161
1350,50,147
1350,40,142
1350,35,130
1350,30,119
1350,25,96
1350,20,93
1350,18,81
1350,15,73
1350,10,69
1350,6,60
1150,255,180
1150,175,183
1150,125,183
1150,100,164
1150,80,157
1150,60,157
1150,50,147
1150,40,146
1150,35,126
1150,30,122
1150,25,98
1150,20,97
1150,18,86
1150,15,75
1150,10,68
1150,6,60
1000,255,164
1000,175,164
1000,125,164
1000,100,158
1000,80,159
1000,60,150
1000,50,146
1000,40,146
1000,35,127
1000,30,122
1000,25,98
1000,20,108
1000,18,89
1000,15,87
1000,10,71
1000,6,66
800,255,156
800,175,156
800,125,156
800,100,156
800,80,156
800,60,163
800,50,159
800,40,150
800,35,130
800,30,122
800,25,98
800,20,108
800,18,105
800,15,91
800,10,72
800,6,64
400,255,164
400,175,156
400,125,156
400,100,156
400,80,156
400,60,163
400,50,159
400,40,150
400,35,127
400,30,122
400,25,98
400,20,108
400,18,105
400,15,92
400,10,72
400,6,64
0,255,164
0,175,156
0,125,156
0,100,156
0,80,156
0,60,163
0,50,159
0,40,150
0,35,127
0,30,122
0,25,98
0,20,100
0,18,94
0,15,84
0,10,71
0,6,64
